acc,auc,fscore,precision,recall
IBD_genomic40_AE_sp_data_2.csv[0.99375, 0.9996031746031747, 0.993103448275862, 0.9866666666666667, 1.0]
IBD_genomic40_AE_sp_data_3.csv[0.99375, 1.0, 0.9935483870967742, 1.0, 0.9875]
IBD_genomic40_AE_sp_data_4.csv[0.98125, 0.9963888888888889, 0.9825698377422516, 0.9761403508771931, 0.99]
IBD_genomic40_AE_sp_data_5.csv[0.99375, 0.9996031746031747, 0.993103448275862, 0.9866666666666667, 1.0]
IBD_taxonomic_species_AE_sp_data_1.csv[1.0, 1.0, 1.0, 1.0, 1.0]
IBD_taxonomic_species_AE_sp_data_2.csv[0.98125, 0.9962698412698412, 0.9825698377422516, 0.9761403508771931, 0.99]
IBD_taxonomic_species_AE_sp_data_3.csv[0.99375, 0.9980158730158731, 0.993103448275862, 0.9866666666666667, 1.0]
IBD_taxonomic_species_AE_sp_data_4.csv[0.98125, 0.9972222222222221, 0.981126581126581, 0.9777089783281735, 0.9857142857142858]
IBD_taxonomic_species_AE_sp_data_5.csv[0.9875, 0.9992063492063492, 0.9876980428704567, 0.9761403508771931, 1.0]
LC_functional_AE_sp_data_1.csv[0.9573934837092732, 0.9865924552540069, 0.9619448029995699, 0.9752380952380953, 0.9501400560224089]
LC_functional_AE_sp_data_2.csv[0.9573934837092732, 0.9918807564015213, 0.961437360868101, 0.9760714285714286, 0.9501400560224089]
LC_functional_AE_sp_data_3.csv[0.9502506265664161, 0.9932345306623713, 0.956843523333087, 0.9525450450450451, 0.9634733893557424]
LC_functional_AE_sp_data_4.csv[0.957268170426065, 0.9858047810185188, 0.9614850328846272, 0.9742857142857144, 0.9501400560224089]
LC_functional_AE_sp_data_5.csv[0.9573934837092732, 0.9897441980744865, 0.961437360868101, 0.9760714285714286, 0.9501400560224089]
LC_genomic40_AE_sp_data_1.csv[0.9503759398496241, 0.9839123732778587, 0.9555080213903743, 0.9619047619047618, 0.9501400560224089]
LC_genomic40_AE_sp_data_2.csv[0.957393483709273, 0.9795599300044557, 0.9625969097316347, 0.951388888888889, 0.9752380952380953]
LC_genomic40_AE_sp_data_3.csv[0.9576441102756892, 0.9836405802256489, 0.9609157729225778, 0.9732142857142858, 0.9501400560224089]
LC_genomic40_AE_sp_data_4.csv[0.9611528822055139, 0.9814550390947907, 0.9644250959892865, 0.981439393939394, 0.9501400560224089]
LC_genomic40_AE_sp_data_5.csv[0.9646616541353383, 0.9852199172744782, 0.968450347881088, 0.9624019607843138, 0.9749019607843138]
LC_taxonomic_species_AE_sp_data_1.csv[0.9716791979949875, 0.9872600753419167, 0.9747088763708538, 0.9875, 0.9634733893557424]
LC_taxonomic_species_AE_sp_data_2.csv[0.9576441102756892, 0.9698648363098492, 0.9630326030705538, 0.9625, 0.9650420168067226]
LC_taxonomic_species_AE_sp_data_3.csv[0.9646616541353386, 0.9769598006426652, 0.9690392771528675, 0.9760714285714286, 0.9631372549019608]
LC_taxonomic_species_AE_sp_data_4.csv[0.9718045112781954, 0.989192894549124, 0.9759358288770054, 0.9875, 0.9650420168067226]
LC_taxonomic_species_AE_sp_data_5.csv[0.9505012531328321, 0.9799961456154369, 0.9540254811602061, 0.9875, 0.926610644257703]
CRC_functional_AE_sp_data_1.csv[0.9894736842105264, 0.9955678670360111, 0.9888888888888889, 1.0, 0.9789473684210528]
CRC_functional_AE_sp_data_2.csv[0.9894736842105264, 0.9988636363636363, 0.9913043478260869, 0.9833333333333332, 1.0]
CRC_functional_AE_sp_data_3.csv[0.9894736842105264, 1.0, 0.99, 0.980952380952381, 1.0]
CRC_functional_AE_sp_data_4.csv[1.0, 1.0, 1.0, 1.0, 1.0]
CRC_functional_AE_sp_data_5.csv[0.9894736842105264, 1.0, 0.99, 0.980952380952381, 1.0]
CRC_genomic40_AE_sp_data_1.csv[0.8842105263157893, 0.9571014857718458, 0.8756005398110661, 0.931135531135531, 0.849401913875598]
CRC_genomic40_AE_sp_data_2.csv[0.9368421052631579, 0.9853689247041046, 0.929679697966143, 0.9833333333333332, 0.8897129186602871]
CRC_genomic40_AE_sp_data_3.csv[0.9473684210526315, 0.953150969529086, 0.9491990846681923, 0.9412280701754387, 0.9578947368421054]
CRC_genomic40_AE_sp_data_4.csv[0.9263157894736842, 0.9520146058927222, 0.9206276560967638, 0.9412280701754387, 0.9078947368421053]
CRC_genomic40_AE_sp_data_5.csv[0.9473684210526315, 0.9943801163507896, 0.951636997632421, 0.962280701754386, 0.9433742458914084]
CRC_taxonomic_species_AE_sp_data_1.csv[0.9473684210526315, 0.9931818181818182, 0.9472222222222222, 0.9442307692307693, 0.9539473684210528]
CRC_taxonomic_species_AE_sp_data_2.csv[0.9368421052631579, 0.9546871065222866, 0.9436003734827265, 0.9349206349206348, 0.9607655502392344]
CRC_taxonomic_species_AE_sp_data_3.csv[0.968421052631579, 0.9899143792495593, 0.9684285308326229, 0.961111111111111, 0.9789473684210528]
CRC_taxonomic_species_AE_sp_data_4.csv[0.9052631578947368, 0.9372135482246285, 0.9004761904761904, 0.9171299288946347, 0.8897129186602871]
CRC_taxonomic_species_AE_sp_data_5.csv[0.9368421052631579, 0.950566607907328, 0.9329710144927535, 0.9348039215686275, 0.9328947368421053]

